x,y,z
69.0,156.0,8.627449
69.0,159.0,2.1568642
69.0,177.0,2.1568642
69.0,180.0,8.627449
69.0,183.0,21.17647
69.0,186.0,33.72549
69.0,189.0,41.960785
69.0,192.0,44.509804
69.0,195.0,40.980392
69.0,198.0,32.352943
69.0,201.0,19.215685
69.0,204.0,7.450981
69.0,207.0,1.5686264
69.0,225.0,2.745098
69.0,228.0,9.803921
69.0,231.0,22.941175
69.0,234.0,35.68627
69.0,237.0,43.333332
69.0,240.0,47.64706
69.0,243.0,48.235294
69.0,246.0,45.098038
69.0,249.0,38.039215
69.0,252.0,26.27451
69.0,255.0,12.941177
69.0,258.0,4.1176453
72.0,126.0,4.509804
72.0,129.0,13.921566
72.0,132.0,27.254902
72.0,135.0,38.039215
72.0,138.0,45.882355
72.0,141.0,48.235294
72.0,144.0,47.64706
72.0,147.0,42.941177
72.0,150.0,34.117645
72.0,153.0,21.372547
72.0,156.0,8.823528
72.0,159.0,2.3529396
72.0,177.0,2.1568642
72.0,180.0,8.627449
72.0,183.0,20.784313
72.0,186.0,34.117645
72.0,189.0,41.960785
72.0,192.0,44.117645
72.0,195.0,40.980392
72.0,198.0,31.764706
72.0,201.0,19.215685
72.0,204.0,7.6470566
72.0,207.0,1.7647057
72.0,225.0,2.5490189
72.0,228.0,10.0
72.0,231.0,22.941175
72.0,234.0,35.490196
72.0,237.0,43.72549
72.0,240.0,48.235294
72.0,243.0,48.235294
72.0,246.0,44.509804
72.0,249.0,38.039215
72.0,252.0,26.470589
72.0,255.0,13.137253
72.0,258.0,3.7254906
75.0,126.0,4.509804
75.0,129.0,14.3137245
75.0,132.0,27.450981
75.0,135.0,38.431374
75.0,138.0,45.490196
75.0,141.0,48.235294
75.0,144.0,46.862743
75.0,147.0,43.333332
75.0,150.0,34.117645
75.0,153.0,21.372547
75.0,156.0,9.019608
75.0,159.0,2.1568642
75.0,177.0,2.1568642
75.0,180.0,8.627449
75.0,183.0,20.784313
75.0,186.0,34.313725
75.0,189.0,41.568626
75.0,192.0,43.72549
75.0,195.0,40.980392
75.0,198.0,31.960783
75.0,201.0,19.411764
75.0,204.0,7.6470566
75.0,207.0,1.7647057
75.0,225.0,2.5490189
75.0,228.0,9.803921
75.0,231.0,22.941175
75.0,234.0,34.313725
75.0,237.0,42.941177
75.0,240.0,47.64706
75.0,243.0,48.039215
75.0,246.0,44.705883
75.0,249.0,38.431374
75.0,252.0,27.254902
75.0,255.0,13.725491
75.0,258.0,3.9215698
78.0,126.0,4.9019623
78.0,129.0,14.3137245
78.0,132.0,27.843138
78.0,135.0,38.82353
78.0,138.0,45.882355
78.0,141.0,48.039215
78.0,144.0,47.64706
78.0,147.0,43.333332
78.0,150.0,33.72549
78.0,153.0,21.372547
78.0,156.0,9.019608
78.0,159.0,2.1568642
78.0,177.0,2.1568642
78.0,180.0,8.431374
78.0,183.0,20.784313
78.0,186.0,33.72549
78.0,189.0,41.960785
78.0,192.0,44.117645
78.0,195.0,40.588234
78.0,198.0,31.960783
78.0,201.0,19.411764
78.0,204.0,7.6470566
78.0,207.0,1.7647057
78.0,225.0,2.5490189
78.0,228.0,9.803921
78.0,231.0,22.549019
78.0,234.0,34.313725
78.0,237.0,42.941177
78.0,240.0,47.64706
78.0,243.0,48.039215
78.0,246.0,45.098038
78.0,249.0,38.431374
78.0,252.0,27.254902
78.0,255.0,13.725491
78.0,258.0,4.3137245
81.0,126.0,5.0980377
81.0,129.0,14.901958
81.0,132.0,28.823528
81.0,135.0,39.215687
81.0,138.0,45.882355
81.0,141.0,48.039215
81.0,144.0,48.039215
81.0,147.0,42.941177
81.0,150.0,34.313725
81.0,153.0,21.17647
81.0,156.0,9.019608
81.0,159.0,2.1568642
81.0,177.0,2.1568642
81.0,180.0,8.431374
81.0,183.0,20.588234
81.0,186.0,33.333332
81.0,189.0,41.568626
81.0,192.0,44.117645
81.0,195.0,40.980392
81.0,198.0,32.352943
81.0,201.0,19.411764
81.0,204.0,7.843136
81.0,207.0,1.7647057
81.0,225.0,2.5490189
81.0,228.0,9.6078415
81.0,231.0,22.549019
81.0,234.0,35.098038
81.0,237.0,43.333332
81.0,240.0,48.235294
81.0,243.0,48.039215
81.0,246.0,45.490196
81.0,249.0,38.82353
81.0,252.0,27.254902
81.0,255.0,14.117645
81.0,258.0,4.509804
84.0,126.0,5.0980377
84.0,129.0,15.098038
84.0,132.0,29.019608
84.0,135.0,40.19608
84.0,138.0,45.882355
84.0,141.0,48.039215
84.0,144.0,47.2549
84.0,147.0,43.333332
84.0,150.0,34.313725
84.0,153.0,21.764704
84.0,156.0,9.215687
84.0,159.0,2.3529396
84.0,177.0,2.1568642
84.0,180.0,8.431374
84.0,183.0,20.588234
84.0,186.0,33.333332
84.0,189.0,41.17647
84.0,192.0,44.117645
84.0,195.0,41.960785
84.0,198.0,32.352943
84.0,201.0,19.999998
84.0,204.0,7.843136
84.0,207.0,1.9607849
84.0,225.0,2.3529396
84.0,228.0,9.411766
84.0,231.0,21.960783
84.0,234.0,34.705883
84.0,237.0,43.333332
84.0,240.0,48.039215
84.0,243.0,48.235294
84.0,246.0,45.098038
84.0,249.0,38.431374
84.0,252.0,27.843138
84.0,255.0,14.3137245
84.0,258.0,4.509804
87.0,123.0,1.1764717
87.0,126.0,5.294117
87.0,129.0,15.294117
87.0,132.0,29.019608
87.0,135.0,38.82353
87.0,138.0,46.27451
87.0,141.0,48.039215
87.0,144.0,47.64706
87.0,147.0,43.72549
87.0,150.0,34.117645
87.0,153.0,21.764704
87.0,156.0,9.215687
87.0,159.0,2.3529396
87.0,177.0,1.9607849
87.0,180.0,8.431374
87.0,183.0,20.196077
87.0,186.0,33.72549
87.0,189.0,41.17647
87.0,192.0,44.117645
87.0,195.0,40.980392
87.0,198.0,32.941177
87.0,201.0,20.196077
87.0,204.0,7.843136
87.0,207.0,1.9607849
87.0,225.0,2.3529396
87.0,228.0,9.6078415
87.0,231.0,21.764704
87.0,234.0,34.705883
87.0,237.0,43.333332
87.0,240.0,47.2549
87.0,243.0,48.235294
87.0,246.0,45.490196
87.0,249.0,38.039215
87.0,252.0,28.431372
87.0,255.0,14.705883
87.0,258.0,4.509804
90.0,123.0,1.1764717
90.0,126.0,5.490196
90.0,129.0,15.686272
90.0,132.0,29.411764
90.0,135.0,39.215687
90.0,138.0,45.882355
90.0,141.0,48.039215
90.0,144.0,48.039215
90.0,147.0,42.941177
90.0,150.0,34.117645
90.0,153.0,21.960783
90.0,156.0,9.019608
90.0,159.0,2.3529396
90.0,177.0,1.9607849
90.0,180.0,8.235294
90.0,183.0,20.588234
90.0,186.0,34.313725
90.0,189.0,41.17647
90.0,192.0,44.117645
90.0,195.0,41.17647
90.0,198.0,33.333332
90.0,201.0,20.196077
90.0,204.0,8.431374
90.0,207.0,1.9607849
90.0,225.0,2.3529396
90.0,228.0,9.215687
90.0,231.0,21.960783
90.0,234.0,34.705883
90.0,237.0,43.72549
90.0,240.0,48.039215
90.0,243.0,48.235294
90.0,246.0,45.490196
90.0,249.0,38.82353
90.0,252.0,28.039215
90.0,255.0,15.098038
90.0,258.0,4.705883
93.0,123.0,1.1764717
93.0,126.0,5.490196
93.0,129.0,15.882351
93.0,132.0,29.411764
93.0,135.0,39.60784
93.0,138.0,45.490196
93.0,141.0,48.235294
93.0,144.0,47.64706
93.0,147.0,43.333332
93.0,150.0,34.117645
93.0,153.0,21.764704
